3638651_56cacfe81a,47,47
3638677_e58ab4e5d1,18,18
3638707_4ddc4ae652,453,453
3638708_897021f24e,437,437
3638780_b9c90cee2b,87,87
3639040_e6a4409428,23,23
2246536_daeeabd4de,25,25
2246534_253ab26674,25,25
3637906_87fc45e988,79,79
3636385_a586c18e37,61,61
3636384_de77b38d3b,46,46
3636434_157ed1295b,46,46
3636433_2bb176ea82,60,60
3636458_12ac0b887f,3,3
3636475_379e667336,19,19
3636585_42f3089786,56,56
3636643_0738d8f1a9,91,91
3636887_60922a3dc9,309,309
3637116_5566403c1b,200,200
3636358_daca871249,62,62
3636139_30e0f75ce8,78,78
3634405_75da809544,75,75
3635920_cf3b1df288,247,247
3634574_d76e782ff2,23,23
3634754_b8b22a697d,50,50
3634756_8502a39c20,50,50
3635032_c4413bc0d5,46,46
3635225_5b01d82b70,23,23
3635266_3dfa1231e7,18,18
3635451_f30e9963e9,337,337
3635638_0afad109a9,26,26
3635633_d6674c37ea,26,26
3632994_208b9ee794,200,200
3633028_bc2bcd5cc0,28,28
3633096_2d3c195b4c,30,30
3633148_391005850f,183,183
3633200_0af530ddb9,57,57
3633251_74825d017a,152,152
3633277_f59de1cef9,346,346
3633314_0a9f8d0eec,154,154
3633341_f60e02ed1f,198,198
3633704_b5bc977766,54,54
3633964_222b2aabfe,32,32
3633970_7b422302d3,317,317
3634006_4b3d54751d,132,132
3634291_29388e7ca8,50,50
3632616_6b9c9c318d,50,50
3632621_bf2235a7b8,205,205
3631927_110ab90171,389,389
3632604_409f9f6276,8,8
3631111_f275a9d673,9,9
3631510_8e28470603,12,12
3218664_0878de3e50,2,2
3242335_0ef26cd5bf,19,19
3631075_dab73116e7,38,38
3631090_3701d85dd4,97,97
3629244_4e4375199a,27,27
3629319_f21643a70d,31,31
3629320_c3752ef628,38,38
3629321_951a1d7094,27,27
3629388_9c5cf87598,13,13
3629410_48d70cf284,42,42
3629456_d3f1ba4348,31,31
3629489_9fadd4e0f1,42,42
3629505_2e17d501ae,18,18
3629540_3108b95fc4,19,19
3629554_20886c0ad0,14,14
3629576_0ec504a88b,205,205
3629594_142a5422a1,91,91
3629753_044e364f37,102,102
3629942_0069393e1f,28,28
3629943_1a865aea89,33,33
3629994_aa4e03eade,115,115
3629995_3c015542d1,107,107
3630008_708930a224,172,172
3630007_885d9f1de6,200,200
3630114_fa20d742e3,80,80
3630146_97616bafe6,28,28
3630154_0471735992,43,43
3630155_a06cdf65e4,44,44
3630177_f905363998,74,74
3630344_c5561a1caf,41,41
3630485_00141043d6,40,40
3630486_0740a78589,43,43
3630537_c0fbeac8ce,37,37
3630571_eeaeee7fb9,42,42
3630605_060515ef3a,35,35
3630606_30cac52917,40,40
3630608_be3df75ee5,16,16
3630662_e11cd1d8b3,76,76
3630759_cfd1031bba,41,41
3630768_f42d4d0499,32,32
3630769_e5de6c17cf,38,38
3630854_0f2f6ae131,31,31
3630886_1ccb648218,37,37
3630895_627a19bcaa,145,145
3630910_d2f7db362d,10,10
3631011_7fa9c31110,27,27
3631053_cc0d95a1e9,54,54
3631072_31e8670188,20,20
3631074_2bb5039338,37,37
3627019_aaba7c1b6b,41,41
3627152_3e883327a0,23,23
3628719_391c8520de,30,30
3628720_238bc13431,34,34
3629241_41f3b7ce53,419,419
3613628_f666a54d5a,10,10
3623197_0ba6e4a7f4,205,205
3626716_8b348f8ab8,37,37
3625540_3e7fccb425,18,18
3625542_44c662a20c,35,35
3623661_1a52028c5f,59,59
3624476_dca4b48f99,22,22
3624483_1981455574,24,24
3624486_4ca8ac4950,122,122
3624487_72251e585b,107,107
3623379_fad1452e82,13,13
3623419_db56b78c9d,96,96
3621837_e436e96baa,256,256
3621839_2483701745,60,60
3621845_eeb7c1b08b,60,60
3621852_2a54a8ce61,61,61
3621854_92d86c55d0,58,58
3622050_190066f38c,142,142
3622082_0fd0df94a2,43,43
3622196_35b2b0f69e,93,93
3622474_3b24eafe87,92,92
3622472_48738751b8,45,45
3622467_a3c2dfad96,48,48
3622469_ebeac72693,49,49
3622473_fb991f6537,46,46
3622506_6253785676,54,54
3622507_73fb5bded4,168,168
3622512_0cc1eb20ac,86,86
3622516_e42a0ef08f,47,47
3622522_9cf0d1086d,592,592
3622640_d83490ba51,35,35
3620601_42c492909e,41,41
3620735_ff5d032a62,41,41
