3640819_b4c1d103af,1039,497
3638024_9ea78548e8,619,478
3636508_5fbad0a754,63,56
3633756_a39d70870e,176,157
3630536_b63cf4903b,42,24
3619500_0fa54bc168,221,172
3605391_6699cc460b,119,52
3603360_fc82a577fa,25,13
3603387_1d3bb670c7,21,10
3603389_0640f71e6c,32,7
3603457_0013e25854,21,5
3603464_3aea9ed14a,50,3
3604107_804add1d10,238,199
3590142_fe305a02b6,613,168
3590208_ddcbf135ff,134,132
